timestamp,filename,sample_rate,num_samples
2025-05-12_20-24-22,mic_data/16000Hz_2s_each_1s-2025-05-12_20-24-22_baby.bin,16000,32000
2025-05-12_20-24-26,mic_data/16000Hz_2s_each_1s-2025-05-12_20-24-26_baby.bin,16000,32000
2025-05-12_20-28-04,mic_data/16000Hz_2s_each_1s-2025-05-12_20-28-04_dog.bin,16000,32000
2025-05-12_20-28-08,mic_data/16000Hz_2s_each_1s-2025-05-12_20-28-08_dog.bin,16000,32000
2025-05-12_20-28-11,mic_data/16000Hz_2s_each_1s-2025-05-12_20-28-11_dog.bin,16000,32000
2025-05-12_20-28-15,mic_data/16000Hz_2s_each_1s-2025-05-12_20-28-15_dog.bin,16000,32000
2025-05-12_20-28-19,mic_data/16000Hz_2s_each_1s-2025-05-12_20-28-19_dog.bin,16000,32000
2025-05-12_20-28-22,mic_data/16000Hz_2s_each_1s-2025-05-12_20-28-22_dog.bin,16000,32000
2025-05-12_20-28-26,mic_data/16000Hz_2s_each_1s-2025-05-12_20-28-26_dog.bin,16000,32000
2025-05-12_20-28-30,mic_data/16000Hz_2s_each_1s-2025-05-12_20-28-30_dog.bin,16000,32000
2025-05-12_20-28-34,mic_data/16000Hz_2s_each_1s-2025-05-12_20-28-34_dog.bin,16000,32000
2025-05-12_20-28-37,mic_data/16000Hz_2s_each_1s-2025-05-12_20-28-37_dog.bin,16000,32000
2025-05-12_20-28-41,mic_data/16000Hz_2s_each_1s-2025-05-12_20-28-41_dog.bin,16000,32000
2025-05-12_20-28-45,mic_data/16000Hz_2s_each_1s-2025-05-12_20-28-45_dog.bin,16000,32000
2025-05-12_20-28-48,mic_data/16000Hz_2s_each_1s-2025-05-12_20-28-48_dog.bin,16000,32000
2025-05-12_20-28-52,mic_data/16000Hz_2s_each_1s-2025-05-12_20-28-52_dog.bin,16000,32000
2025-05-12_20-28-56,mic_data/16000Hz_2s_each_1s-2025-05-12_20-28-56_dog.bin,16000,32000
2025-05-12_20-29-00,mic_data/16000Hz_2s_each_1s-2025-05-12_20-29-00_dog.bin,16000,32000
2025-05-12_20-29-03,mic_data/16000Hz_2s_each_1s-2025-05-12_20-29-03_dog.bin,16000,32000
2025-05-12_20-29-07,mic_data/16000Hz_2s_each_1s-2025-05-12_20-29-07_dog.bin,16000,32000
2025-05-12_20-29-11,mic_data/16000Hz_2s_each_1s-2025-05-12_20-29-11_dog.bin,16000,32000
